Text,Classification
when utilizing screensharing on my mac during voip call deactivating camera does not turn off webcams green light reproduce issue simply follow these three steps 1 initiate voip call with camera active 2 begin screensharing 3 stop camera although camera ceases operation led indicating webcam active remains lit ideally i would expect led no longer illuminated once camera has been deactivated for reference experience occurred using chromium version 92 0 4515 131 browser on macos through webapp hosted on element io,1
prompt users each time before sending data identity server doesnt have terms of service unless you have actively set in your account data nan,0
make policy geography api endpoints optionally public explain pull request value of having policy api endpoints public has come up in several different contexts in particular in development of 503 has been pointed out hypothetical bad actor at city could create arbitrarily small or specific policy regions undermine stated goal of protecting rider privacy for example bad actor could create policy regions around political protest home of specific individual receive events reveal trips of individual from protest in hypothetical example value of public policy api endpoint clear anyone could see what happening ask bad actor account for creating such targeted policy regions in less specific hypothetical cases there public benefit from making policy data open data for example residents could monitor vehicle caps over time enterprising developers could add speed limits no parking zones their apps change may raise concerns vehicle caps other such data are proprietary data there may competitive concerns here but i dont think they should overrule public benefit of publishing data there are no individual privacy concerns or trade secrets in data unlikely cities could shield data from records request breaking change no impacted spec policy,1
require user permissions before using accelerometer api steps reproduce 1 navigate actual result accelerometer accessed without user permissions expected result access accelerometer api should request user permissions reproduces how often easily reproduced intermittent issue easily brave version 1 9 1 device details iphone se,0
policy requirements pull request written fulfill needs of discussions started in issue 608 around agencies expressing data sharing requirements more clearly explain pull request would add new endpoint requirements under policy api allows agencies digitally express only data they need for their jurisdiction operating permit breaking change no not breaking impacted spec which spec s pull request impact `policy` additional context initial pr draft require feedback edits from mds community before becoming part of release including external guidance documents new omf repo host requirement files for some agencies,0
other required privacy artifacts may applicable agency offering or using proofing service organization name n if individual cms organization type 1 document 63 3 63a 63b or 63c 800 63a reference include section paragraph number section 4 2 general requirements req 13 comment include rationale for comment other required privacy artifacts may applicable agency offering or using proofing service can include data use agreements computer matching agreements etc artifacts are driven by controls ac 21 information sharing ap 1 authority collect ul 1 internal use in nist sp 800 53r4 suggested change organization type 1 = federal 2 = industry 3 = academia 4 = self 5 = other,0
there currently no way tell sdk automatically scrub potentially sensitive property metadata for example given javascript code import datadoglogs from datadog browser logs datadoglogs logger info button clicked name buttonname id 123 password myplaintextpassword theres no method immediately remove sensitive information like password from metadata however its possible configuration could added perform scrubbing automatically similar how rollbar scrubs fields by default functionality could expanded include other sensitive information like email addresses passwords tokens which would automatically removed from urls error stacks,1
disable fingerprinting using svg apis disable svg fingerprinting similar,0
not appropriate for riot attempt load integrations from integration manager unless user has agreed managers privacy policies any attempt do so would considered violation of users privacy could result in legal action therefore important for riot obtain users consent before proceeding with any integration from manager ensure users privacy respected their personal information not compromised,1
support web3js contract api as user i want able interact with private contracts in same way as public contracts when using web3js eea where possible i want web3js eea detect when contract private just work webj3 doc,1
after changing back vector im text field isnt cleared button remains active clicking again shows doesnt have terms warning again leaves textbox button in populated active state,0
warn when multiple tabs edit same patient or consultation should generic enough can extended anything robust idea would have editing collection keeps track of ` userid itemcollection itemid ` would allow anybody see what others are editing should evaluate whether ok as long as itemcollection itemid do not leak any information other than editing histogram would also allow display list of items currently open for edition extension of idea would enforce ` itemcollection itemid owner ` constraints when querying new collection maybe would better implement proper permissions system scalable solution again similar idea as above where we store either ` userid permission itemcollection itemid ` or ` userid read write itemcollection itemid ` if only permissions are `read` `write` these solutions seems nice since we mostly run permission testing code on server only occasions where we might need testing on client for ux considerations like hiding edit button with first solution we would query `find userid userid permission write ` second solution `find userid userid write true ` with appropriate indices for uniqueness search performance note should write imply read,0
log out from on riot log out removal we should call ` account logout` on when any of following happens riot logs out removed,0
"privacy policy for sharing module misses info about counts steps reproduce issue 1 visit page 2 uncheck everything but sharing 3 see copy text what i expected info about request facebook linkedin or pinterest for example get sharing count information what happened instead sharing data used when sharing content via email option only available if akismet active on site following information used sharing party√ó¬í√""¬Ç¬",1
important when errors appear on login reset password forms they do not reveal existence of user names emails in case of failed login attempt on wordpress system may mistakenly suggest problem lies with password while in reality could issue with user name can major problem as exposes valuable information potential attackers who could easily exploit flaw learn what user names are being used on site same issue exists with reset password form making essential ensure errors do not inadvertently disclose sensitive information,1
as author posts i create on my profile can restricted friends of my friends making them visible only select group in essence means my posts are not available general public can only seen by specific audience within my social network allows me maintain certain level of privacy while still sharing my content with those who i trust have connection with 24 hour window also time limit within which post can seen before disappears from audiences view,1
long term storage sharing of transcriptions summary long er term storage of aggregated transcripts 8 should hosted on turings sharepoint has been vetted for security by turings department has configurable access control for new researchers joining project etc,0
identity server v2 api authentication from riot web created by jryans vector im riot web 10408 msc2140 defines new v2 api for identity servers uses openid authentication as defined in msc1961 we need add support for new api version authentication requirement in all places apis are used,0
leave github abandon github electronmail caters for privacy enthusiasts yet development platform hosted by microsoft amazon privacy abusers github becoming more problematic for tor users post bug reports improve credibility of project attract privacy respecting developers its good idea move away from github privacy problems with microsoft github 1 ms feeds other privacy abusers 1 2012 ms spent 35 million on facebook advertisements making third highest financial supporter of notorious privacy abuser year 1 github uses amazon aws which triggers several privacy ethical problems 1 amazon paid 195k fight privacy in ca 1 amazon supported cisa 1 amazon making astronomical investment in facial recognition 1 amazon uses fedex nra supporting alec member who feeds republican warchests via alec nra republican policy detrimental individual privacy 1 amazon distributes nratv which promotes privacy hostile political party resulting policies also sells trump line of suits in their webshop 1 amazon spent 30 million ranked in top 5 promoters of facebook ads in 2012 thus substantially feeding privacy abuser 1 amazon supplies aws palantir database firm exploits social media facilitate ice cbp enforce trumps inhumane zero tolerance immigration policy entails child parent separation palantir was also co founded by notorious scumbag peter thiel 1 amazon supplies facial recognition law enforcement who use abuse civil liberties 1 amazon drug tests its employees thus intruding on their privacy outside workplace also harming their healthcare 1 amazon runs extreme sweatshop greatly diminishes quality of life consequential mental health crisis evidenced by 189 calls from amazon warehouses 911 in five years 1 github tor hostile according tor project in my case gh often forces me through extra email verification step github tor hostility 1 ms prism corporation prone mass surveillance 1 ms lobbies for privacy hostile policy 1 ms supported cispa cisa unwarranted information exchange bills cisa passed 1 2018 ms paid 195k fight privacy in ca 1 ms supplies bing search service which gives high rankings privacy abusing cloudflare websites 1 ms supplies hotmail com email service which uses vigilante extremist org spamhaus force residential internet users share all their e mail metadata payloads with corporate third party 1 ms drug tests its employees thus intruding on their privacy outside workplace 1 ms products office in particular violate gdpr alternatives 1 self hosting gogs gitea gitlab etc 1 + avoids shake up problem of shrinking community each time project moves there no risk privacy factors would later take negative turn 1 bitbucket 1 dodgy j s up yin yang clusterfucks umatrix 1 has some relationship with netlify who uses aws 1 non free software 1 launchpad 1 gitlab would poor choice 1 hostile treatment of tor users trying register 1 hostile treatment of new users who attempt register with ` spamgourmet com` forwarding email address track spam protect their more sensitive internal email address 1 captchas tor users even after theyve established account have proven non spammer 1 captchas break robots robots are not necessarily malicious e g i could have had robot correcting widespread misspelling error in all my posts 1 captchas put humans work for machines when machines should work for humans 1 captchas are defeated spammers find economical use third world sweat shop labor for captchas while legitimate users have burden of broken captchas 1 captcha puzzle sourced from google so google likely getting compensated in some way google likely also recording ip address browser print page captcha served in order add someones tracking info 1 googles captcha often forces users run non free javascript 1 puzzle often broken amounts denial of service gitlab google recaptcha 1 notabug org nab privacy policy based on liberated fork of gogs 1 + supports tor although onion web ui currently disabled in response attack so onion site only accepts git connections 1 + supports ssh keys ssh over tor 1 + no captchas 1 + registration very non intrusive not controlling about where you get your email 1 noteworthy drawback unrelated privacy e voting non existent 1 noteworthy drawback unrelated privacy nab doesnt associate pgp keys users so pgp signed commits may unavailable or more manual work needed 1 irc support channel dead 1 codeberg runs on gitea which gogs fork 1 + web ui works on tor probably ssh as well 1 + supports ssh gpg keys 1 + no captchas 1 + registration very non intrusive not controlling about where you get your email 1 + functions without any j s javascript exists all 1st party 1 + supports e voting 1 + hosts jeff cliffs cf tor project which one of most credible competently staffed privacy projects 1 logins dont work from all ungoogled chromium installations 1 no onion address going forward i suggest moving codeberg org or notabug org,0
in my opinion expectation of not having contacts id revealed in url not being met with current behavior i believe there no justifiable reason include contacts id in url especially since url rewritten when opening new threema web tab addition of messenger conversation contact abcde1234 unnecessary compromises users privacy information serves as indicator of whom you have contacted persisted in your browsing history possible solution issue would store contacts id within javascript so doesnt appear in url bar wont pushed history approach ensure users privacy not compromised by inclusion of unnecessary information in browsing history current environment for issue threema web version 2 1 7 with browser name version being firefox 66 0 2,1
your request for feature allows cities monitor compliance with policies for vehicles in motion both in real time historically without requiring precise trip location data proposed solution for vehicles emit events when entering or leaving geography defined in policy endpoint which would contain uuid instead of exact vehicle location would achieved by renaming events adding new field for geography information making event location telemetry optional for certain events proposal builds upon previously proposed changes unify simplify policy agency events related proposal simplify municipal boundaries policy geometries no alternative solutions have been considered at time,1
adding customized policy content in json user on 1207904 zen asks whether itd possible have text provided in jetpack privacy policy page also ready in json copy paste at moment we have ready in plain text in html user in case would like add their banner powered by wp gdprc plugin which aggregates different privacy policies analytics customerly in case needs json script add i believe we dont have anything in place at moment but i wonder if theres way add easily or if its something might useful for more users in future site,0
terms account data meant additive but currently sets only new urls were meant keep adding newly agreed urls account data but bug means were only storing ones you just agreed time,0
allow disabling repository absolute path showing in title bar mainly for privacy reasons as expose home directory name which often real name also less important contrary repository folder name,1
prevent tracking of ping requests deactivate hyperlink auditing by following these steps first go test 1 page then navigate second page click on hello link finally open network monitor observe ping request trackpings protect your privacy prevent unnecessary tracking of your online activity,1
terms cannot accepted anymore probably due api v2 requires access token for ` identity v2 terms`,0
recommend adding disposal or protection must in accordance with pii protection requirements bullet organization name n if individual cms organization type 1 document 63 3 63a 63b or 63c 800 63a reference include section paragraph number section 4 2 general requirements req 12 comment include rationale for comment recommend adding disposal or protection must in accordance with pii protection requirements bullet ensure csp does not simply erase media reuse dispose of media in manner would not appropriate related media protection mp family of controls in nist sp 800 53r4 suggested change organization type 1 = federal 2 = industry 3 = academia 4 = self 5 = other,0
refactor eeasendawtransaction class make clean separation for three different kinds of private transactions we do support legacy privacygroup onchainprivacygroup possibly apply strategy pattern decide strategy based on ` privacy onchain groups enabled` flag,0
ditch disqus nan,0
aim enable users subscribe logs for private transaction events by implementing equivalent methods for eth newfilter eth newblockfilter eth newpendingtransactionfilter eth uninstallfilter eth getfilterchanges eth getlogs each call input remain same as eth inputs with addition of privacy group id result of each call similar eth call for events caller has permissions access point of implementing these methods allow dapps efficiently poll for events originate from private smart contracts however important decide whether all methods make sense in private context for example newblock filter which not focus right now,1
remove orion acceptance tests orion deprecated at end of nov we can then stop running acceptance tests see `parameterizedenclavetestbase` would interesting observe if reduces time for ats run if so how much,0
performance testing for onchain privacy groups use current quorum performance artillery results as baseline less interested in specific tps number more interested in if any particular parameters affect performance eg does adding new group member slow things down considerably sending simple contract single user self performance test scenario x recommend sending multiple users create group with 2 3 5 members sending sequence of transactions includes check group membership x adding user group after eg 10 100 1000 tx caliper not right tool for,0
contents of personal notes were shared on forum x were examined for instances of duplicate bug descriptions these personal notes were shared when using `admins forum friendi ca` address reproduce issue one needs draft personal note include mentioned address save actual result such personal note then shared with public which not expected result ideally personal notes should remain private not shared with anyone issue arises in cases where user saves draft of post intended shared in future provide more context screenshots platform information such as friendica version for september 2021 were also collected,1
"stats new dnt filter should added as formal setting ui 8075 added new filter allows site owners ability honor dnt where enabled but make as easy as possible for folks flip switch we should add as formal setting would appear under settings √ó¬í√""¬Ç¬",0
"support using private logs when using onchain privacy groups with multi tenancy when using priv getlogs priv getfilterlogs priv getfilterchanges only logs up removal block are returned when √ó¬í√""¬Ç¬",1
should whitelists public currently idp can whitelist rp not required disclose subscriber their attributes are being sent there at runtime nature of whitelist however should we require idp document in place available subscribers which rps has whitelisted for what attribute sets,0
dicom pseudonymisation appears reversible in some cases not sure if dicom pseudonymisation streamlit function was meant leave date of birth gender unchanged just thought i would mention as i thought they needed replaced also,1
issue 8371 improvements for picture permissions should fix issue creates workaround for red circle problems according issue 8371 permission fields in photos are sometimes set `null` which then causes permission function not alter permissions now changed so permissions are also altered on photos with permissions set `null` pr also addresses main issue with red circles most systems like mastodon or diaspora cant handle non public photos they fetch photos without authentication we cannot change other systems stating yeah others are blame when they cannot see your pictures dont help users who just want post their pictures non public audience so we introduce new option yeah im feeling guilty about adding new options but one needed i think option allows pictures fetched without authentication but still they cant seen in photo albums if you dont have permission its up user decide if enough protection,1
providers api currently includes crash data under accident event type within status changes endpoint as several cities have expressed interest in obtaining data for linking with street usage infrastructure would beneficial enhance quality of data currently data manually reported from hospitals provides information on location timestamp vehicle type but not of high quality cannot used make informed decisions on infrastructure or policies address would useful add event type of accident crash as transition from on trip unavailable within status changes endpoint as may challenging obtain information live from providers there could reporting process through website or potentially through next generation of vehicles accelerometers speed data while addition may not breaking could part of separate reporting process would valuable for analytics on shared micro mobility connectivity with transportation authorities emergency services another alternative could separate monthly reports by providers but relies on user goodwill for reporting,1
update crash reporting framework i notice app using acra crash reporter in commercial app experience ive had we moved away from acra crashlytics several years ago google bought crashlytics back in january are now suggesting people use in preference firebase crash reporting crashlytics free out of box in addition crash reporting crashlytics offers key performance metric tracking i setup login took photo share from gallery release adoption graphs how many people are using which versions live count of active users session length in app crash reports are collected in web interface so everyone with account say all folk with commit access here would able look at them want try out evaluate code switch on branch in my fork if youre curious,0
receipt for private transaction contains unexpected from value when transaction includes non zero gas value unexpected value not present when gas value omitted expected acceptance criteria for receipt require from value on private transaction receipt matches from on private transaction value for from not expected change with gas limit reproduce bug first run besu v20 10 4 with specified configuration next send transaction with gas value set 900000 retrieve private transaction receipt then send transaction with gas omitted retrieve private transaction receipt expected behavior for both receipts have same from value but actual behavior from value on transaction with gas has unexpected value,1
harharlinks initially observed right panel widgets are capable of unexpectedly staying alive now has been discovered previously noticed issue was due widgets failing tear down widget frame when unmounted as result all widgets displayed in right panel have potential remain running in background regardless of their permission stay on screen occurrence independent of widgets ability stay visible user,1
analytics support go through oba android analytics calls firebase make sure ios app does exactly same,0
priv getprivatetransaction should return blocknumber etc as hex strings description `priv getprivatetransaction` returns `blocknumber` `transactionindex` as decimal numbers instead of as hex like in `priv gettransactionreceipt` they should consistently formatted as hex strings additionally `gas` `gasprice` `nonce` `value` should hex strings `quantity` as defined at additional information ```js transaction blockhash 0x9d42136b0c618be8e21b84f7e61b92969857abb2ef3573fac40af8f6fa8cee38 blocknumber 2 from 0x86a256414b2f68ff0cfa3645b4224acb614a758b gas 3000000 gasprice 0 hash 0xe1c59bb3cfd45f2cd006b4f0c9504286f421acba30d9ba4f3558fff3ec8843b3 input 0xfbb3448cab99d2a23e7b43e2383b522401c183cc301b6e6353b034e46818fc12 nonce 0 0x000000000000000000000000000000000000007e transactionindex 0 value 0 v 0x1c r 0x25ede8e90b37e23f2276ab30badf04cbfe78789a1ee5093908e6fccbf2239da1 s 0x383abbb742b4d4000282268dda1bdcc375110c16b1d8d0402974e9cd1393d2ba ``` ```js receipt contractaddress 0x1c38fffca7ecd2ec8053fd4d5e50a422c8a4c314 from 0xfe3b557e8fb62b89f4916b721be55ceb828dbd73 output 0x608060405260043610610057576000357c0100000000000000000000000000000000000000000000000000000000900463ffffffff1680633fa4f2451461005c5780636057361d1461008757806367e404ce146100b4575b600080fd5b34801561006857600080fd5b5061007161010b565b6040518082815260200191505060405180910390f35b34801561009357600080fd5b506100b260048036038101908080359060200190929190505050610115565b005b3480156100c057600080fd5b506100c96101cb565b604051808273ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200191505060405180910390f35b6000600254905090565b7fc9db20adedc6cf2b5d25252b101ab03e124902a73fcb12b753f3d1aaa2d8f9f53382604051808373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020018281526020019250505060405180910390a18060028190555033600160006101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff16021790555050565b6000600160009054906101000a900473ffffffffffffffffffffffffffffffffffffffff169050905600a165627a7a723058208efaf938851fb2d235f8bf9a9685f149129a30fe0f4b20a6c1885dc02f639eba0029 commitmenthash 0xe1c59bb3cfd45f2cd006b4f0c9504286f421acba30d9ba4f3558fff3ec8843b3 transactionhash 0x78c19cb83792154a5ee82813970f0591a104b79d77321f2da9dd7ae7bb47e5c6 privatefrom a1avtmxlcuhmbvhxozzzbgpbw wj5axdpw9x8l91sgo= privacygroupid ipmga9pzay1quybs6pofvnkuqgyrgoj9j094wv158nu= status 0x1 logs logsbloom 0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 blockhash 0x9d42136b0c618be8e21b84f7e61b92969857abb2ef3573fac40af8f6fa8cee38 blocknumber 0x2 hex transactionindex 0x0 hex ```,0
"investigate ios 14 privacy alert ivpn would like find connect devices on your local network description new ios 14 privacy alert presented when new installed apps require access try interact with local network first we need investigate which part of app apps logic triggers alert then resolve issue in 2 possible ways 1 remove logic triggers privacy alert if possible 2 add custom description in info plist describes exactly why ivpn app requires access local network instead ios presenting default alert text more info √ó¬í√""¬Ç¬",1
add support for fingerprint nan,0
stefan pingel has resolved problem of inconsistent private state may caused by not having enough memory by providing fix for 1110 privacy restart issue can now resolved signed off due efforts of individual,1
fix generation of legacy privacy group ids fix generation of legacy privacy group ids calculated using contents of address not memory address existing legacy privacy group ids need migrated new generation,0
enhance privacy in backend posts advisable exclude any fields contain sensitive information are not crucial for operation of backend in particular `syntactic context` field should removed from such posts since falls under category of unnecessary sensitive data removing privacy sensitive findings fields minimize risk of sensitive data being accessed or compromised ultimately improve privacy security measures,1
us 30 as server admin node node connections can authenticated with http basic auth nan,0
add lifetime storage settings for indexdb localstorage from,0
freeze incoming coin reuses address since 94 now fixed theres little risk of accidentally receiving intended coin on shuffle address should alleviate much of concerns re dusting before we get proper 72 or variation of in if coin received from non shuffle source fulfills following criteria 1 reuses address currently marked as shuffled 2 below minimum shuffle tier currently at 0 0001 coin automatically marked frozen in wallet not used in sending whether shuffled unshuffled implementing 72 proper coin control goes with should obsolete but very beneficial stopgap before happens,0
add tor browser fingerprints browser identity hi i think its great app adds ability disguise itself as different browser its worth noting on tor network highly irregular for user using anything other than tor browser user agent they are pretty standardized for purpose of not letting anyone stand out i think should option use tor browser fingerprints only especially when setting up account accesses protonmail over its tor hidden service as i said in opening statement using other browser identities highly irregular attracts attention makes user more unique all things mute value of using tor in first place,1
in addition privacy act system of records other privacy artifacts may applicable agency offering or using proofing service organization name n if individual cms organization type 1 document 63 3 63a 63b or 63c 800 63b reference include section paragraph number section 9 4 agency specific privacy compliance para 1 comment include rationale for comment in addition privacy act system of records other privacy artifacts may applicable agency offering or using proofing service can include data use agreements matching agreements etc there no assurance all privacy related artifacts legal obligation created during development process without appropriate reminders without proper guidance throughout development agency implementations may delayed require revision or even require re engineering at some point in future meet privacy requirements suggested change organization type 1 = federal 2 = industry 3 = academia 4 = self 5 = other,0
"add acceptance test where 2 members are added two different pri√ó¬í√""¬Ç¬",0
"628 deprecating private transaction hash gethash pr description √ó¬í√""¬Ç¬",0
private transactions do not pass validation during block processing do not generate any evidence of its failure unlike public transactions because execution of private transactions relies on privacy settings of ethereum virtual machine evm if evm not invoked no receipt created even if transaction fails validation creates situation where attempted execution of failed private transaction goes unnoticed leaves no trace moreover private transactions can have same nonce first one gets executed produce receipt while any subsequent ones deemed illegal not produce receipt different from public state where any illegal nonce invalidate transaction block keep in mind transaction receipts do not report illegal nonces in private transactions as goes against principles of public world,1
privacy allow users provide private genesis add option allow provision of private genesis using plugin able interface problems there no way prevent nodes from having different private genesis file currently there no private consensus prevent from happening as such there possibility for nodes have inconsistent states implementation on `privacypluginservice` method has been added allow registration of `privacygroupgenesisprovider` provider must return `privacygenesis` currently only allows you define genesis accounts allocs,0
absolutely certain about which consent being referred modest amendment should made clause csps shall not make consent organization name n if individual id me inc organization type 2 document 63 3 63a 63b or 63c 800 63a reference include section paragraph number 4 2 list item 5 comment include rationale for comment absolutely certain about which consent being referred modest amendment should made clause csps shall not make consent condition of service suggested change reword as csps shall not make such consent condition of service organization type 1 = federal 2 = industry 3 = academia 4 = self 5 = other,0
metrics feature branch explain pull request pr see what changes between metrics feature branch dev branch prepare for merger once its ready breaking change no not breaking impacted spec `agency` `policy` `provider` additional context prs 486 487 were merged feature branch in mds repo so we can see how fits into larger spec allow community staff do prs against merge other related prs into see how fit into dev when its ready with pr,0
add ci script check for rewards requests before rewards opt in see for details issue do equivalent ci testing on ios,0
add version endpoint return current client version as users i want sensible error message if privacy functionality failing because theres mismatch in installed versions of besu orion requirements add endpoint orion return current client version when completed raise besu ji add version check for orion on startup,0
process of finding manager using only domain name portion of msc1957 comparable common server client discovery occurs during login clients with integration domain such as example org make standard https request which returns object formatted as follows m integrations widget url data api url as sample essentially means by performing search based on domain name one can locate connect with designated manager,1
with unagreed terms block you from adding even unshared 3pids your hs if you are connected but have not agreed its terms prevent you from adding 3pid your hs account even when not shared for discovery we send hs for all 3pid adds hs use verify your 3pid ownership v2 apis require valid access token with all terms agreed for these steps proceed riot currently only flags inline need for terms agreement in discovery section but in reality its needed for account section as well,0
