Text,Classification
suggestion make cookies exempt from deletion,1
add hours in clear browsing data dialog,1
delete browsing data dialog too small,1
clear browsing data default focus should clear browsing data button,1
delete really all lsos on close,1
click play plugins,1
content settings even after saying remember value queued prompts are still shown,1
content settings images do not show any images doesnt work for local pages,1
when database open access blocked we dont display blocked content icon,1
n 2 notifications sent for host content settings changed,1
cookie exception for google com should match subdomains,1
content settings crashes when setting prompt for cookies data,1
content settings incognito mode do not work well together,1
plugin can play even though set block,1
clear browsing data from incognitos window should clear downloads history,1
idn doesnt work on content settings exceptions,1
content settings double click on exception doesnt open edit exception dailog,1
content settings expires drop down box option when i close my browser doesnt work in set cookie data prompt,1
only create databases when we need delete them when theyre empty,1
documentation on how opt out from advertising cookies wrong,1
content settings empty entry remains in list after all its sub entries have been removed,1
plugins are not always blocked by content settings,1
geolocation implement content settings exception dialog,1
fine grain javascript permissions,1
when database open access blocked for workers we dont display blocked content icon,1
geolocation clear these settings for future visits in location tracking blocking notification bubble seems not work,1
geolocation doesnt work accurately with wireless network on linux,1
popup blocking when leaving page uses next pages content settings,1
geolocation maps google com geolocation icon flashes second failed sit in omnibox after we allow,1
remove button enabled after opening cookies editor window though nothing selected,1
add temporary exceptions for javascript blocking,1
search text available outside of incognito mode,1
content settings bubbles should clamp max length of page controlled strings,1
content settings in image javascript plugin popup blocked notification bubble check one option should make previous checked option unchecked,1
creates multiple content settings for same site,1
should able close note in incognito mode,1
cookie prompt does not allow set expire date for html cookies,1
geolocation location tracking prompt info bar shows wrong site when tracking location in multiple frame cross origin location tracking page,1
geolocation location tracking notification icon still shows even location tracking blocked,1
content settings in incognito changes on content settings only take effect after current incognito window closed,1
content settings cookies expires date not set correctly when accept from set cookie prompt in linux,1
content settings exceptions of content settings should sortable by pattern or action field in linux,1
content settings closing incognito window before answering cookie prompt crashes browser,1
browser crash on clicking content settings links browser handlecrossappnavigation,1
deleting individual cookies does not work,1
save directory from incognito remembered in choose file dialog in non incognito,1
cookie domain wildcard fails for,1
collect blocked allowed cookies show user on demand,1
content settings dialog should have list of categories on left instead of tabs at top,1
add notifications panel content settings window,1
notreached when changing cookie preferences in incognito mode,1
support session only mode for all cookie like data,1
sorting content exceptions does not work,1
spurious patterns added content settings,1
disable cookie prompt,1
add load all plugins on page blocked plugins bubble,1
need visual feedback on creation of content settings,1
geolocation settings through incognito persist even after ending session,1
browser crash on pop up for website in incognito,1
location tracking blocked notification icon still shows even after exception removed,1
cookie dialog extremely slow,1
content settings option not seen for do not show images run javascript,1
improve page was prevented from setting cookies button,1
provide way for extensions clear browser cache,1
rlz data included in search requests from organic installs,1
hook up indexed db content settings,1
delete indexed dbs from browsing data deleters,1
click play vulnerable ui redressing,1
windows 7 jumplist items not cleared after deleting browser history,1
session only blocks rather than converts non session cookies,1
integrate with api for deleting flash player lsos,1
browser crash on geolocation messageloop posttask helper tracked objects location const task int64 bool,1
run all plug ins time cant handle case where plugins are loaded gradually,1
request add ability block javascript from individual sites,1
security chromium perminently saves some browsing history in config chromium,1
open link in incognito window tabs share state with non incognito,1
session only cookie rules dont work,1
navigator cookieenabled always true,1
seg faults trying save new cookie settings,1
tell user reload page after modifying cookie settings or just reload right away,1
have option unblock cookies for main frame url from within bubble similar image javascript bubble,1
on redirect loop error page indicate whether cookies were blocked,1
show details about blocked set cookies,1
hook up new site data types content settings,1
refactor host content settings map,1
show origin of site setting cookie in in tab dialog instead of domain of cookie,1
include read cookies in in tab cookies dialog,1
add delete methods for filesystem filewriter browsing data deleters,1
doesnt have clearing of active logins aka authenticated sessions,1
when we delete cookies we should handle open indexeddbs more gracefully,1
refactor cookies persistent store clean up on shutdown,1
clear browsing data doesnt remove about dns net internals data,1
permissions granted by hosted apps dont show up in content settings,1
incognito profile created by cookie extension api,1
block all 3rd party cookies doesnt block all 3rd party cookies,1
net internals dump data feature leaks incognito activity,1
exceptions for cookie clearing,1
show http only flag in cookies view,1
implement content settings extension api,1
cookies blocked icon shows even when cookies arent blocked,1
client side certificates silently sent when in incognito mode,1
cookie site data exceptions should scroll,1
shows have you moved infobar every time you search,1
support wildcard file patterns in content settings,1
removed site still visible in most visited in win7 taskbar,1
user opt in opt out prerender,1
allow specific plug ins on all pages,1
change privacy settings text reflect new behavior of dns prefetch option,1
javascript cannot disabled in data uris,1
add extension content settings provider,1
content setting exceptions based on top level frame individual item url,1
some websites show always blocked cookies icon,1
implement do not track,1
ignore exceptions block third party cookies from being set doesnt do what i want,1
add extension api clear browsing history data,1
change ui for password settings reflect sync settings,1
webrequest api allows extensions manipulate web store pages,1
add histogram for number of hostname patterns for content settings,1
security filesystem api can used learn about installed software on users computer,1
popups not blocked for urls specified in exception when allow all sites show pop ups selected in content settings of browser,1
quotamanager should provide support for browsingdataremover handle quota managed storage types properly,1
browsing history deletion from history should more straightforward,1
verify templateurlservice correctly responds url history deletions,1
clear search engines content settings etc from clear browsing data dialog,1
crash in contentsettingspattern matches,1
expose privacy relevant preferences via extension api,1
extension controlled settings should disabled in settings,1
managed content settings exceptions should locked in webui,1
change help text on incognito ntp,1
feature add ability purge ssl session cache for browsing session,1
invalid secondary content settings pattern detected while migrating obsolete content settings preference,1
support general third party content setting patterns,1
extension provided content scripts should execute even when javascript otherwise blocked,1
in page navigations reset blocked plug ins,1
plugin blocking controls in content settings should not apply nacl,1
run js load image which had disabled in,1
add uma stats for click play usage,1
content settings set by disabled extension show up in settings content,1
remove uma users from instant field trial as soon as they opt out,1
should not possible set inconsistent cookie content settings,1
add np clearsitedata api flapper,1
incognito remembers flash cookies when flash open in default profile,1
allow developers selectively delete data in different storage mechanisms,1
clear these settings for feature visits doesnt work in incognito window,1
crash on clear browsing data delete cookies,1
cant delete range of cookies,1
multiple profiles fail delete any profiles datadirs after browser shutdown,1
standard window receiving auth from incognito window http basic auth,1
hqp backend can leak data when users delete individual urls date ranges,1
crashed when incognito windows opened while settings tab already open,1
